id;name
sOxXeTJTZTE2zS;мука
zJbuEDXhMc1nWX;молоко
vMNWxCX1Fu0qwt;сахар
CCn3DqaoZ2ND9o;соль
MpResX3S0p47Cw;сода
e7gr24psgKN9Ih;репчатый лук
Pmmsqgre1E9pbK;морковь
6rV76FJ68j9A0O;рис девзира
xhSHnfJa0wHLF3;филе баранины
X4Pv1cobqyC74F;растительное масло
cLDnllPcgkqcw3;чеснок
JPTcEpFXAK2vnw;соль
5wMe8CtjQ3OoyW;зира
Pjny9V2UGHmOIE;вода
zhQQvYK1uqg97i;селедка
sgWlkDsBXQfTAz;картошка
pmrZwyaaAUIh0A;свекла
4HaQW8AwQFqwDe;яйцо
Lb24yrtSMm3gx9;майонез
59eZgHe7Rr4jCh;курица
Ua9q54VvtAHtFR;укроп
SmyBaXEjSMK2R4;лавровый лист
8bZRQsipzM3J6p;черный перец
e7T2p3cW9xJlWi;сливочное масло
FcXCtKpbeKQEBZ;вода
rNRZDpncHquft8;слива
DZJHMMAMPHEZrE;корица
